Season,data_type,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2009,team_batter,Rays,2345,6223,199,803,765,194,0.103,0.197,0.177,0.303,0.263,0.343,0.439,0.342,109,21.6,90.5,40.2,35
2009,team_batter,Yankees,2369,6449,244,915,881,111,0.103,0.157,0.194,0.306,0.283,0.362,0.478,0.365,117,0.2,137.5,-21.4,34.4
2009,team_batter,Phillies,2285,6338,224,820,788,119,0.093,0.182,0.189,0.286,0.258,0.334,0.447,0.339,103,20,42.5,80.3,32
2009,team_batter,Angels,2246,6305,173,883,841,148,0.087,0.167,0.156,0.322,0.285,0.35,0.441,0.346,108,8.6,75.5,-4.1,29.4
2009,team_batter,Dodgers,2352,6385,145,780,739,116,0.095,0.167,0.141,0.309,0.27,0.346,0.412,0.332,102,4,18.7,56.2,27.4
2009,team_batter,Brewers,2321,6296,182,785,757,68,0.097,0.196,0.164,0.305,0.263,0.341,0.426,0.336,103,-9.6,10.2,43.2,25
2009,team_batter,Red Sox,2317,6344,212,872,822,126,0.104,0.177,0.184,0.301,0.27,0.352,0.454,0.351,106,-7.7,40.7,-21.2,24.3
2009,team_batter,Cardinals,2358,6168,160,730,694,75,0.086,0.169,0.152,0.296,0.263,0.332,0.415,0.325,98,13.4,-1.6,52.1,24.3
2009,team_batter,Braves,2335,6335,149,735,700,58,0.095,0.168,0.142,0.3,0.263,0.339,0.405,0.327,97,-20.2,-44.2,76.4,23
2009,team_batter,Twins,2315,6346,172,817,770,85,0.092,0.161,0.155,0.306,0.274,0.345,0.429,0.338,104,15.3,42.9,-44.4,22.2
2009,team_batter,Reds,2314,6187,158,673,637,96,0.086,0.182,0.147,0.282,0.247,0.318,0.394,0.313,84,5.2,-118.5,123.3,19.8
2009,team_batter,Blue Jays,2202,6362,209,798,766,73,0.086,0.162,0.174,0.29,0.266,0.333,0.44,0.337,101,12.2,21.5,-58.3,18.8
2009,team_batter,Rockies,2352,6241,190,804,760,106,0.106,0.205,0.18,0.305,0.261,0.343,0.441,0.341,96,5.3,-29.7,21.6,18.7
2009,team_batter,Marlins,2394,6312,159,772,727,75,0.09,0.194,0.148,0.316,0.268,0.34,0.416,0.332,97,4.5,-16.7,5.6,18.6
2009,team_batter,Rangers,2158,6127,224,784,748,149,0.077,0.205,0.185,0.296,0.26,0.32,0.445,0.331,92,9.1,-49.8,17.5,18.4
2009,team_batter,Diamondbacks,2301,6269,173,720,686,102,0.091,0.207,0.165,0.299,0.253,0.324,0.418,0.324,89,13.1,-75.3,54.8,17.5
2009,team_batter,Giants,2304,6057,122,657,612,78,0.065,0.191,0.132,0.302,0.257,0.309,0.389,0.305,83,10,-118.1,99.6,17
2009,team_batter,Mariners,2150,6113,160,640,613,89,0.069,0.179,0.144,0.293,0.258,0.314,0.402,0.313,89,-4.5,-87,34.6,16.3
2009,team_batter,Tigers,2350,6234,183,743,718,72,0.087,0.179,0.156,0.294,0.26,0.331,0.416,0.328,94,0.4,-48.5,-21,15
2009,team_batter,Nationals,2401,6273,156,710,685,73,0.098,0.193,0.148,0.302,0.258,0.337,0.406,0.327,96,-5.7,-37.9,-8.1,15
2009,team_batter,Athletics,2306,6247,135,759,723,133,0.084,0.167,0.135,0.298,0.262,0.328,0.397,0.32,94,12.8,-38,-34,14.8
2009,team_batter,Padres,2348,6179,141,638,605,82,0.095,0.191,0.138,0.284,0.242,0.321,0.381,0.309,93,-10.4,-67.1,19.8,14.5
2009,team_batter,Indians,2188,6320,161,773,730,84,0.092,0.192,0.153,0.308,0.264,0.339,0.417,0.333,100,-1.1,-0.7,-77,14.5
2009,team_batter,Cubs,2343,6244,161,707,678,56,0.095,0.19,0.152,0.296,0.255,0.332,0.407,0.324,90,-13.2,-89.3,39.5,14.5
2009,team_batter,Mets,2377,6159,95,671,631,122,0.085,0.151,0.124,0.307,0.27,0.335,0.394,0.32,94,-5.4,-48.2,-14.3,13
2009,team_batter,Orioles,2281,6233,160,741,708,76,0.083,0.163,0.147,0.3,0.268,0.332,0.415,0.328,93,-20.1,-74.3,-23.2,12.2
2009,team_batter,Astros,2340,6040,142,643,616,113,0.074,0.164,0.14,0.293,0.26,0.319,0.4,0.315,89,-18,-99,32.3,12.2
2009,team_batter,Pirates,2195,6058,125,636,612,90,0.082,0.189,0.135,0.296,0.252,0.318,0.387,0.31,86,-6.2,-113,32.9,10.9
2009,team_batter,White Sox,2241,6132,184,724,695,113,0.087,0.167,0.153,0.285,0.258,0.329,0.411,0.326,91,-13,-84,-45.8,8.6
2009,team_batter,Royals,2247,6103,144,686,657,88,0.075,0.179,0.146,0.298,0.259,0.318,0.405,0.318,88,-18.9,-110.3,-78.8,2.6
2010,team_batter,Reds,2370,6285,188,790,761,93,0.083,0.194,0.164,0.314,0.272,0.338,0.436,0.34,106,12.7,57.2,101.3,35.8
2010,team_batter,Yankees,2313,6379,201,859,823,103,0.104,0.178,0.169,0.3,0.267,0.35,0.436,0.346,112,12.1,101.5,-27.3,31.4
2010,team_batter,Rays,2361,6270,160,802,769,172,0.107,0.206,0.156,0.293,0.247,0.333,0.403,0.326,106,37.6,78.6,-4,31
2010,team_batter,Brewers,2262,6304,182,750,710,81,0.087,0.193,0.161,0.304,0.262,0.335,0.424,0.334,104,0.6,32.4,74.7,30.5
2010,team_batter,Twins,2290,6257,142,781,749,68,0.089,0.155,0.148,0.306,0.273,0.341,0.422,0.335,106,-15.8,29.5,15.3,27.9
2010,team_batter,Giants,2354,6143,162,697,660,55,0.079,0.179,0.151,0.293,0.257,0.321,0.408,0.32,98,-18.3,-31.6,95.2,25.5
2010,team_batter,Cardinals,2347,6241,150,736,689,79,0.087,0.165,0.139,0.296,0.263,0.332,0.402,0.322,99,1.8,-6.8,60.6,24.8
2010,team_batter,Red Sox,2327,6356,211,818,782,68,0.092,0.179,0.183,0.299,0.268,0.339,0.451,0.345,109,-7.2,59.7,-49.5,24.6
2010,team_batter,Tigers,2274,6312,152,751,717,69,0.087,0.182,0.147,0.311,0.268,0.335,0.415,0.33,102,9.7,23.9,-15.7,24.3
2010,team_batter,Braves,2376,6252,139,738,699,63,0.101,0.182,0.143,0.301,0.258,0.339,0.401,0.327,100,-2.1,-2.9,46.6,23.8
2010,team_batter,Padres,2352,6148,132,665,630,124,0.088,0.192,0.125,0.29,0.246,0.317,0.371,0.304,92,9.3,-50.2,89.1,23
2010,team_batter,Blue Jays,2206,6072,257,755,732,58,0.078,0.192,0.206,0.269,0.248,0.312,0.454,0.334,105,-12.3,25.1,-21.3,22.9
